policy,task,block_index,seed,mode,status,success,action_calls,step_limit,termination,instruction,origin,record_path,record_sha256
xvla,bottle_verb,0,100002,pick,failure,0,700,700,action_limit,pick up the curvy yellow plastic bottle gently.,reused,xvla/bottle_verb/bottle_verb_ep100002_result.json,c692c455cecd2648d47575ac00061b2366ac0211160e69146f98bfbe425f0a8d
xvla,bottle_verb,0,100003,shake,success,1,149,700,task_success,shake the smooth bottle with blue text gently.,reused,xvla/bottle_verb/bottle_verb_ep100003_result.json,89d8c8969f6d7c1e8946990ce0a15791c678b8813b7521119df94f1629138fb6
xvla,bottle_verb,1,100004,pick,failure,0,700,700,action_limit,Please grab the curvy yellow plastic bottle with the left arm.,reused,xvla/bottle_verb/bottle_verb_ep100004_result.json,43c6d367049599cc22b279872689c8391b27a8f5b532fe6603b0c33d43941c71
xvla,bottle_verb,1,100005,shake,success,1,133,700,task_success,shake the yellow bottle with white cap using the left arm.,reused,xvla/bottle_verb/bottle_verb_ep100005_result.json,2a25ee67bbb3a01eb4ef907edc4b03b85221329a4fea6a692a81b7994b41d536
xvla,bottle_verb,2,100006,pick,failure,0,700,700,action_limit,Kindly lift the bottle with printed label.,reused,xvla/bottle_verb/bottle_verb_ep100006_result.json,d057c08b13d2ca8db479eb8e60066679247b9b1b2dfb01eed42de21b003f1984
xvla,bottle_verb,2,100007,shake,success,1,138,700,task_success,Kindly shake the bottle with printed label.,reused,xvla/bottle_verb/bottle_verb_ep100007_result.json,40d3a70c3a737d7f35d33e2bc9751b1b97ca76ab2e72cdac35e78a6f023f9815
xvla,bottle_verb,3,100008,pick,failure,0,700,700,action_limit,Please pick up the yellow bottle for liquid storage with the right arm.,reused,xvla/bottle_verb/bottle_verb_ep100008_result.json,a740c5805f3b2eba86411186834b35d0c3565b866e0b10d141aabb63d1d2c789
xvla,bottle_verb,3,100009,shake,success,1,129,700,task_success,shake the yellow bottle for liquid storage with care.,reused,xvla/bottle_verb/bottle_verb_ep100009_result.json,045b7623c9a2fec1483d6a400f54df95e9ef578f6c1f4ce67c7cdd5576901161
xvla,bottle_verb,4,100010,pick,failure,0,700,700,action_limit,grab the medium-sized plastic bottle with capped top gently.,reused,xvla/bottle_verb/bottle_verb_ep100010_result.json,89f7637a33ecb2828299242e3e42de17a4831a7373b99448df61c877938f2084
xvla,bottle_verb,4,100011,shake,success,1,85,700,task_success,Please shake the medium-sized plastic bottle with capped top with the left arm.,reused,xvla/bottle_verb/bottle_verb_ep100011_result.json,eda1110b8af422bc1f73fe6fd185eec27327f85fdb8812e68f7f1f93a9a18385
