policy,task,block_index,seed,mode,status,success,action_calls,step_limit,termination,instruction,origin,record_path,record_sha256
xvla,place_relative,0,100007,front,failure,0,400,400,action_limit,Use the right arm to grab the black remotecontrol and place it in front of the red tea-box,reused,xvla/place_relative/place_relative_ep100007_result.json,932b102948e51bc54fafe30e620ff8c6d7c7e8ce114a1de2436c2b95af5a4b4a
xvla,place_relative,0,100008,back,failure,0,400,400,action_limit,Pick up the black remotecontrol and move it behind the red tea-box,reused,xvla/place_relative/place_relative_ep100008_result.json,1e44912e049013a56b66669e25034619217dda0d84caa13c3433ddf1ec524092
xvla,place_relative,1,100012,front,failure,0,400,400,action_limit,Grab the red can and set it in front of the red tea-box,reused,xvla/place_relative/place_relative_ep100012_result.json,048e1d6ced5168a1272a3a744b840eda8356f6f571bb56eefd4e87ff9493c2c9
xvla,place_relative,1,100013,back,failure,0,400,400,action_limit,Grab the red can and set it behind the red tea-box,reused,xvla/place_relative/place_relative_ep100013_result.json,fadeaab7fd9cce08cec2cfb08cbef05e109de81e590c36f748cdfe51d9bdc299
xvla,place_relative,2,100017,front,failure,0,400,400,action_limit,Lift the blue soap and set it in front of the red tea-box,reused,xvla/place_relative/place_relative_ep100017_result.json,116e07eb97ec81211f3beea1e500cc1a7ed7b20127051794175d5c39131584a9
xvla,place_relative,2,100018,back,failure,0,400,400,action_limit,Pick up the blue soap and move it behind the red tea-box,reused,xvla/place_relative/place_relative_ep100018_result.json,f6c7256dfeacce4f4658af539cd8e706c11058c4153df16e9282453d964f0166
xvla,place_relative,3,100022,front,failure,0,400,400,action_limit,Relocate the gray mouse in front of the brown coffee-box,reused,xvla/place_relative/place_relative_ep100022_result.json,b0455538138c5a99faa72675e49452292b030ed2dcaf1cc79031c64233d87b5b
xvla,place_relative,3,100023,back,failure,0,400,400,action_limit,Use the left arm to grab the gray mouse and place it behind the brown coffee-box,reused,xvla/place_relative/place_relative_ep100023_result.json,b84ff627a438d1586063e94de696bf45b72943388657c63f7adc18f3a5153a1e
xvla,place_relative,4,100027,front,failure,0,400,400,action_limit,Use the left arm to grab the green toycar and place it in front of the brown coffee-box,reused,xvla/place_relative/place_relative_ep100027_result.json,ab3efe43c002bd03468589020ba45ef16ec7c9fa080b821738aa2ca32960b3a5
xvla,place_relative,4,100028,back,failure,0,400,400,action_limit,Grab the green toycar and set it behind the brown coffee-box,reused,xvla/place_relative/place_relative_ep100028_result.json,bf6569030879abdafd2ece9c8f7254c1ec3a837cd7cf336cc16776b62eb48b3f
xvla,place_relative,5,100032,front,failure,0,400,400,action_limit,Grab the red stapler and set it in front of the brown coffee-box,reused,xvla/place_relative/place_relative_ep100032_result.json,b4120a09d6b26014b618001c2c71e222852facbaa0b1873485bfc186b71e03c4
xvla,place_relative,5,100033,back,failure,0,400,400,action_limit,"Use the right arm to pick up the red stapler, set it behind the brown coffee-box",reused,xvla/place_relative/place_relative_ep100033_result.json,a82b57ef1136f314aa21278039b708ea092bbe4ac387bfb4de9d95cf489733f3
xvla,place_relative,6,100042,front,failure,0,400,400,action_limit,"Use the left arm to pick up the red can, set it in front of the brown coffee-box",reused,xvla/place_relative/place_relative_ep100042_result.json,288c43065b1974001521d785c5f37122e6ca1d2d6837ab663376eb1a2c8eae25
xvla,place_relative,6,100043,back,failure,0,400,400,action_limit,Use the left arm to grab the red can and place it behind the brown coffee-box,reused,xvla/place_relative/place_relative_ep100043_result.json,4f8bb0e67dad75b06dded488f04620ddc1ecd7e8212c784be8c1617181acf7c1
xvla,place_relative,7,100047,front,failure,0,400,400,action_limit,Use the left arm to grab the blue soap and place it in front of the brown coffee-box,reused,xvla/place_relative/place_relative_ep100047_result.json,9ec0780ab8b2fd9de5e4d501db4234bdb4cfbb2639290495efa39b0d4944269e
xvla,place_relative,7,100048,back,failure,0,400,400,action_limit,Grab the blue soap and set it behind the brown coffee-box,reused,xvla/place_relative/place_relative_ep100048_result.json,c8eedb76f13af35ef4e39120eb1a6f2e6a0593e9b491e3509a9fcfdf0dbeb181
xvla,place_relative,8,100052,front,failure,0,400,400,action_limit,Use the right arm to grab the gray mouse and place it in front of the red tea-box,reused,xvla/place_relative/place_relative_ep100052_result.json,1703eff1ec6da089d3ba3fd603aede83d7590f6d59501282391606b158b7cfde
xvla,place_relative,8,100053,back,failure,0,400,400,action_limit,Use the right arm to grab the gray mouse and place it behind the red tea-box,reused,xvla/place_relative/place_relative_ep100053_result.json,9fa24cb990b87b6b59d997249d57c9ef3f34644e8708f96bcdb9b64d99bb6eaa
