policy,task,mode,successes,included,sr_pct,recorded,recorded_successes,completed_blocks,expected_blocks,complete
xvla,bottle_verb,pick,0,20,0.0,20,0,20,20,True
xvla,bottle_verb,shake,20,20,100.0,20,20,20,20,True
xvla,pick_diverse_object,seen,7,20,35.0,20,7,20,20,True
xvla,pick_diverse_object,unseen,8,20,40.0,20,8,20,20,True
xvla,attribute_select,color:red,15,20,75.0,20,15,20,20,True
xvla,attribute_select,color:blue,16,20,80.0,20,16,20,20,True
xvla,attribute_select,decal:cat,13,20,65.0,20,13,20,20,True
xvla,attribute_select,decal:dog,11,20,55.0,20,11,20,20,True
xvla,attribute_select,shape:block,8,20,40.0,20,8,20,20,True
xvla,attribute_select,shape:bar,12,20,60.0,20,12,20,20,True
xvla,attribute_select,size:big,5,20,25.0,20,5,20,20,True
xvla,attribute_select,size:small,20,20,100.0,20,20,20,20,True
xvla,arm_select,left,5,20,25.0,20,5,20,20,True
xvla,arm_select,right,3,20,15.0,20,3,20,20,True
xvla,stack_sequence,red>green>blue,0,20,0.0,20,0,20,20,True
xvla,stack_sequence,red>blue>green,0,20,0.0,20,0,20,20,True
xvla,stack_sequence,green>red>blue,0,20,0.0,20,0,20,20,True
xvla,stack_sequence,green>blue>red,0,20,0.0,20,0,20,20,True
xvla,stack_sequence,blue>red>green,0,20,0.0,20,0,20,20,True
xvla,stack_sequence,blue>green>red,0,20,0.0,20,0,20,20,True
xvla,place_relative,left,4,20,20.0,20,4,20,20,True
xvla,place_relative,right,2,20,10.0,20,2,20,20,True
xvla,place_relative,on_top,0,20,0.0,20,0,20,20,True
lingbot_va,bottle_verb,pick,0,20,0.0,20,0,20,20,True
lingbot_va,bottle_verb,shake,20,20,100.0,20,20,20,20,True
lingbot_va,pick_diverse_object,seen,14,20,70.0,20,14,20,20,True
lingbot_va,pick_diverse_object,unseen,16,20,80.0,20,16,20,20,True
lingbot_va,attribute_select,color:red,20,20,100.0,20,20,20,20,True
lingbot_va,attribute_select,color:blue,18,20,90.0,20,18,20,20,True
lingbot_va,attribute_select,decal:cat,17,20,85.0,20,17,20,20,True
lingbot_va,attribute_select,decal:dog,18,20,90.0,20,18,20,20,True
lingbot_va,attribute_select,shape:block,20,20,100.0,20,20,20,20,True
lingbot_va,attribute_select,shape:bar,17,20,85.0,20,17,20,20,True
lingbot_va,attribute_select,size:big,15,20,75.0,20,15,20,20,True
lingbot_va,attribute_select,size:small,20,20,100.0,20,20,20,20,True
lingbot_va,arm_select,left,18,20,90.0,20,18,20,20,True
lingbot_va,arm_select,right,20,20,100.0,20,20,20,20,True
lingbot_va,stack_sequence,red>green>blue,17,20,85.0,20,17,20,20,True
lingbot_va,stack_sequence,red>blue>green,0,20,0.0,20,0,20,20,True
lingbot_va,stack_sequence,green>red>blue,0,20,0.0,20,0,20,20,True
lingbot_va,stack_sequence,green>blue>red,0,20,0.0,20,0,20,20,True
lingbot_va,stack_sequence,blue>red>green,0,20,0.0,20,0,20,20,True
lingbot_va,stack_sequence,blue>green>red,0,20,0.0,20,0,20,20,True
lingbot_va,place_relative,left,12,20,60.0,20,12,20,20,True
lingbot_va,place_relative,right,7,20,35.0,20,7,20,20,True
lingbot_va,place_relative,on_top,7,20,35.0,20,7,20,20,True
lingbot_vla,bottle_verb,pick,0,20,0.0,20,0,20,20,True
lingbot_vla,bottle_verb,shake,20,20,100.0,20,20,20,20,True
lingbot_vla,pick_diverse_object,seen,10,20,50.0,20,10,20,20,True
lingbot_vla,pick_diverse_object,unseen,3,20,15.0,20,3,20,20,True
lingbot_vla,attribute_select,color:red,17,20,85.0,20,17,20,20,True
lingbot_vla,attribute_select,color:blue,18,20,90.0,20,18,20,20,True
lingbot_vla,attribute_select,decal:cat,12,20,60.0,20,12,20,20,True
lingbot_vla,attribute_select,decal:dog,9,20,45.0,20,9,20,20,True
lingbot_vla,attribute_select,shape:block,5,20,25.0,20,5,20,20,True
lingbot_vla,attribute_select,shape:bar,11,20,55.0,20,11,20,20,True
lingbot_vla,attribute_select,size:big,1,20,5.0,20,1,20,20,True
lingbot_vla,attribute_select,size:small,20,20,100.0,20,20,20,20,True
lingbot_vla,arm_select,left,7,20,35.0,20,7,20,20,True
lingbot_vla,arm_select,right,11,20,55.0,20,11,20,20,True
lingbot_vla,stack_sequence,red>green>blue,14,20,70.0,20,14,20,20,True
lingbot_vla,stack_sequence,red>blue>green,0,20,0.0,20,0,20,20,True
lingbot_vla,stack_sequence,green>red>blue,0,20,0.0,20,0,20,20,True
lingbot_vla,stack_sequence,green>blue>red,0,20,0.0,20,0,20,20,True
lingbot_vla,stack_sequence,blue>red>green,0,20,0.0,20,0,20,20,True
lingbot_vla,stack_sequence,blue>green>red,0,20,0.0,20,0,20,20,True
lingbot_vla,place_relative,left,1,20,5.0,20,1,20,20,True
lingbot_vla,place_relative,right,2,20,10.0,20,2,20,20,True
lingbot_vla,place_relative,on_top,0,20,0.0,20,0,20,20,True
vlact,bottle_verb,pick,16,20,80.0,20,16,20,20,True
vlact,bottle_verb,shake,20,20,100.0,20,20,20,20,True
vlact,pick_diverse_object,seen,16,20,80.0,20,16,20,20,True
vlact,pick_diverse_object,unseen,12,20,60.0,20,12,20,20,True
vlact,attribute_select,color:red,20,20,100.0,20,20,20,20,True
vlact,attribute_select,color:blue,19,20,95.0,20,19,20,20,True
vlact,attribute_select,decal:cat,19,20,95.0,20,19,20,20,True
vlact,attribute_select,decal:dog,14,20,70.0,20,14,20,20,True
vlact,attribute_select,shape:block,15,20,75.0,20,15,20,20,True
vlact,attribute_select,shape:bar,20,20,100.0,20,20,20,20,True
vlact,attribute_select,size:big,6,20,30.0,20,6,20,20,True
vlact,attribute_select,size:small,20,20,100.0,20,20,20,20,True
vlact,arm_select,left,16,20,80.0,20,16,20,20,True
vlact,arm_select,right,13,20,65.0,20,13,20,20,True
vlact,stack_sequence,red>green>blue,10,20,50.0,20,10,20,20,True
vlact,stack_sequence,red>blue>green,0,20,0.0,20,0,20,20,True
vlact,stack_sequence,green>red>blue,1,20,5.0,20,1,20,20,True
vlact,stack_sequence,green>blue>red,2,20,10.0,20,2,20,20,True
vlact,stack_sequence,blue>red>green,0,20,0.0,20,0,20,20,True
vlact,stack_sequence,blue>green>red,2,20,10.0,20,2,20,20,True
vlact,place_relative,left,11,20,55.0,20,11,20,20,True
vlact,place_relative,right,7,20,35.0,20,7,20,20,True
vlact,place_relative,on_top,1,20,5.0,20,1,20,20,True
dm05,bottle_verb,pick,20,20,100.0,20,20,20,20,True
dm05,bottle_verb,shake,20,20,100.0,20,20,20,20,True
dm05,pick_diverse_object,seen,18,20,90.0,20,18,20,20,True
dm05,pick_diverse_object,unseen,7,20,35.0,20,7,20,20,True
dm05,attribute_select,color:red,20,20,100.0,20,20,20,20,True
dm05,attribute_select,color:blue,16,20,80.0,20,16,20,20,True
dm05,attribute_select,decal:cat,9,20,45.0,20,9,20,20,True
dm05,attribute_select,decal:dog,16,20,80.0,20,16,20,20,True
dm05,attribute_select,shape:block,8,20,40.0,20,8,20,20,True
dm05,attribute_select,shape:bar,20,20,100.0,20,20,20,20,True
dm05,attribute_select,size:big,3,20,15.0,20,3,20,20,True
dm05,attribute_select,size:small,20,20,100.0,20,20,20,20,True
dm05,arm_select,left,9,20,45.0,20,9,20,20,True
dm05,arm_select,right,16,20,80.0,20,16,20,20,True
dm05,stack_sequence,red>green>blue,9,20,45.0,20,9,20,20,True
dm05,stack_sequence,red>blue>green,0,20,0.0,20,0,20,20,True
dm05,stack_sequence,green>red>blue,0,20,0.0,20,0,20,20,True
dm05,stack_sequence,green>blue>red,0,20,0.0,20,0,20,20,True
